date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:06	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1666519569-ssl-df	https://natural-permanent-prostate-treatment.netlify.app/robots.txt		(from )
18:21:09	52241/52241	---MCZ	200	added ('OK')	text/html	etag:%22b1eeda4d6cdb087b832a7500889b3b86-ssl-df%22	https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB	C:/My%20Web%20Sites/prostate/natural-permanent-prostate-treatment.netlify.app/index3d7d.html	(from )
18:21:12	160392/160392	---M-Z	200	added ('OK')	text/css	etag:W/%2227288-jtLWNQ0j+FfZKAVzfQ+XxnXeZms%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/prostate/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/css/bootstrap.min.css	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:32	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1666519569-ssl-df	https://natural-permanent-prostate-treatment.netlify.app/blives.xyz/index.html	C:/My%20Web%20Sites/prostate/natural-permanent-prostate-treatment.netlify.app/blives.xyz/index.2.delayed	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:33	19901/19901	---MCZ	200	added ('OK')	text/css	etag:%22dca45f6f71fbabd271ac377bbb0d5eae-ssl-df%22	https://natural-permanent-prostate-treatment.netlify.app/boblives.css	C:/My%20Web%20Sites/prostate/natural-permanent-prostate-treatment.netlify.app/boblives.css	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:33	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/prostate/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:34	193529/193529	---M-Z	200	added ('OK')	text/css	etag:W/%222f3f9-YnOsGiPXmhIvAi9qh8W3XCz6/Do%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.0-beta1/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/prostate/cdn.jsdelivr.net/npm/bootstrap@5.2.0-beta1/dist/css/bootstrap.min.css	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:35	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/prostate/code.jquery.com/jquery-3.5.1.min.js	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:36	63240/63240	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f708-DE6ERfbwyWEdwcE9xvCF60vKygs%22	https://cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/prostate/cdn.jsdelivr.net/npm/bootstrap@4.5.3/dist/js/bootstrap.min.js	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
18:21:37	52241/52241	---MCZ	200	added ('OK')	text/html	etag:%22b1eeda4d6cdb087b832a7500889b3b86-ssl-df%22	https://natural-permanent-prostate-treatment.netlify.app/index.html	C:/My%20Web%20Sites/prostate/natural-permanent-prostate-treatment.netlify.app/index.html	(from https://natural-permanent-prostate-treatment.netlify.app/?gclid=Cj0KCQjwwISlBhD6ARIsAESAmp4QwVp2A3AtIEJ15PX59rxH3gwK4EfCj0QcvSe15rSvKo9WNNPHTNEaAp6aEALw_wcB)
